"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Diabetes, adults aged 18+","","2022",,"Global","Total","","14.145673752","12.919614792","15.541259766","",
"Diabetes, adults aged 18+","","2022",,"Global","Males","","14.337094307","12.511044502","16.415433884","",
"Diabetes, adults aged 18+","","2022",,"Global","Females","","13.940279007","12.307182312","15.768286705","",
"Diabetes, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Total","","25.306585312","18.058218002","33.744457245","",
"Diabetes, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Males","","22.534292221","13.196919441","33.591442108","",
"Diabetes, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Females","","27.83877182","17.302158356","40.577785492","",
"Diabetes, adults aged 18+","","2022",,"African Region","Total","","10.521256447","8.769166946","12.613897324","",
"Diabetes, adults aged 18+","","2022",,"African Region","Males","","9.818619728","7.563679695","12.816420555","",
"Diabetes, adults aged 18+","","2022",,"African Region","Females","","11.192040443","8.667254448","14.231014252","",
"Diabetes, adults aged 18+","","2022","Albania","European Region","Total","","10.791339874","4.749033928","19.424779892","",
"Diabetes, adults aged 18+","","2022","Albania","European Region","Males","","12.275015831","3.66262126","25.89348793","",
"Diabetes, adults aged 18+","","2022","Albania","European Region","Females","","9.428272247","2.624526501","21.612451553","",
"Diabetes, adults aged 18+","","2022","Algeria","African Region","Total","","18.660190582","12.803973198","25.405582428","",
"Diabetes, adults aged 18+","","2022","Algeria","African Region","Males","","17.01889801","9.761703491","26.232942581","",
"Diabetes, adults aged 18+","","2022","Algeria","African Region","Females","","20.27926445","11.96870327","30.468755722","",
"Diabetes, adults aged 18+","","2022","American Samoa","Western Pacific Region","Total","","28.894153595","16.496604919","43.941173553","",
"Diabetes, adults aged 18+","","2022","American Samoa","Western Pacific Region","Males","","29.668903351","12.79489994","51.207805634","",
"Diabetes, adults aged 18+","","2022","American Samoa","Western Pacific Region","Females","","28.155910492","11.161157608","50.271244049","",
"Diabetes, adults aged 18+","","2022","Andorra","European Region","Total","","7.281749725","2.922727108","14.031831741","",
"Diabetes, adults aged 18+","","2022","Andorra","European Region","Males","","8.843271255","2.5951612","19.386331558","",
"Diabetes, adults aged 18+","","2022","Andorra","European Region","Females","","5.664524078","1.183995843","14.833890915","",
"Diabetes, adults aged 18+","","2022","Angola","African Region","Total","","18.360864639","9.368755341","29.562610626","",
"Diabetes, adults aged 18+","","2022","Angola","African Region","Males","","19.06763649","7.239755154","36.082942963","",
"Diabetes, adults aged 18+","","2022","Angola","African Region","Females","","17.726593018","6.267963409","35.041320801","",
"Diabetes, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Total","","20.364566803","10.319012642","33.170730591","",
